model,wall_seed,seat,prevalent_wind,score,rank,win,self_draw,deal_in,deal_in_fan,big_deal_in,draw,draw_tenpai,call_rate,decisions,mean_decision_ms,p95_decision_ms,max_decision_ms,invalid_or_timeout,steps
final_raw,2026082911,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,55,1.7877635969357057,1.835358003154397,1.8369299359619617,0,111
final_raw,2026082911,2,2,0.0,2.5,0,0,0,0,0,1,1,0.0,85,1.7702235292424173,1.8136689439415932,1.8420261330902576,0,171
final_raw,2026082911,3,2,-8.0,2.5,0,0,0,0,0,0,0,0.02857142857142857,70,1.7665545988295759,1.7960972851142287,1.8089869990944862,0,139
final_raw,2026082912,0,0,-8.0,2.5,0,0,0,0,0,0,0,0.05714285714285714,35,1.8232704273291997,1.8599243834614754,1.878960058093071,0,70
final_raw,2026082912,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.05128205128205128,78,1.7884298920249329,1.8464089138433337,1.8643150106072426,0,156
final_raw,2026082912,2,0,-8.0,2.5,0,0,0,0,0,0,0,0.07692307692307693,26,1.7610318027436733,1.7901252722367644,1.8091043457388878,0,52
final_raw,2026082912,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.01282051282051282,78,1.7591278988103836,1.790628652088344,1.8052360974252224,0,156
final_raw,2026082913,0,0,-18.0,3.0,0,0,0,0,0,0,0,0.012658227848101266,79,1.823664318675859,1.8518334720283747,1.8581422045826912,0,159
final_raw,2026082913,1,0,-25.0,3.0,0,0,0,0,0,0,0,0.012048192771084338,83,1.7917127887078796,1.8389686942100525,1.8464578315615654,0,167
final_raw,2026082913,2,0,-8.0,2.5,0,0,0,0,0,0,0,0.047619047619047616,42,1.7645587213337421,1.805036561563611,1.813666895031929,0,84
final_raw,2026082913,3,0,0.0,2.5,0,0,0,0,0,1,0,0.0,84,1.7603805865205469,1.7934657400473952,1.9688759930431843,0,168
final_raw,2026082914,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.06382978723404255,47,1.820191443759076,1.850423263385892,1.865131314843893,0,94
final_raw,2026082914,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.027777777777777776,72,1.7942234666811094,1.8399418331682682,2.4913321249186993,0,144
final_raw,2026082914,2,2,-18.0,3.0,0,0,0,0,0,0,0,0.0196078431372549,51,1.7666031935197466,1.805540407076478,1.8205149099230766,0,103
final_raw,2026082914,3,2,-8.0,2.5,0,0,0,0,0,0,0,0.017543859649122806,57,1.7532936068611187,1.7843635752797127,1.7990092746913433,0,114
final_raw,2026082915,0,0,-18.0,4.0,0,0,1,10,0,0,0,0.0,64,1.826759566029068,1.8543883692473173,2.160143107175827,0,129
final_raw,2026082915,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.044444444444444446,45,1.788629384504424,1.8411705270409584,2.130218781530857,0,90
final_raw,2026082915,2,0,-17.0,4.0,0,0,1,9,0,0,0,0.016666666666666666,60,1.7634566485260923,1.8094598548486829,1.8328367732465267,0,120
final_raw,2026082915,3,0,-41.0,3.0,0,0,0,0,0,0,0,0.019230769230769232,52,1.7784456095586603,1.8281222553923726,2.7725049294531345,0,105
final_raw,2026082916,0,0,36.0,1.0,1,0,0,0,0,0,0,0.0,54,1.8222608293096225,1.8551374785602093,1.8697241321206093,0,109
final_raw,2026082916,1,0,-8.0,2.5,0,0,0,0,0,0,0,0.018518518518518517,54,1.7801494147904493,1.832138723693788,1.8443968147039413,0,109
final_raw,2026082916,2,0,-20.0,4.0,0,0,1,12,0,0,0,0.037037037037037035,54,1.7631946528261457,1.8090934958308935,1.8265657126903534,0,109
final_raw,2026082916,3,0,-8.0,2.5,0,0,0,0,0,0,0,0.0,54,1.7526115083860025,1.7836396116763353,1.8081222660839558,0,108
final_raw,2026082917,0,2,34.0,1.0,1,0,0,0,0,0,0,0.044444444444444446,45,1.8331463862624433,1.8487726338207722,2.5029578246176243,0,90
final_raw,2026082917,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.04878048780487805,41,1.7867778973063317,1.8390831537544727,1.9632559269666672,0,82
final_raw,2026082917,2,2,69.0,1.0,1,1,0,0,0,0,0,0.043478260869565216,23,1.7627523807079897,1.797566656023264,1.802308950573206,0,45
final_raw,2026082917,3,2,-18.0,4.0,0,0,1,10,0,0,0,0.06976744186046512,43,1.7555639429321124,1.7857548780739307,1.796277705579996,0,86
final_raw,2026082918,0,2,37.0,1.0,1,0,0,0,0,0,0,0.015151515151515152,66,1.8212818258413763,1.844395650550723,1.8469416536390781,0,132
final_raw,2026082918,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,62,1.7883134705405082,1.8465131986886263,2.073362935334444,0,124
final_raw,2026082918,2,2,-8.0,2.5,0,0,0,0,0,0,0,0.058823529411764705,51,1.7710422695267434,1.8184396903961897,1.9353237003087997,0,102
final_raw,2026082918,3,2,-19.0,4.0,0,0,1,11,0,0,0,0.0,67,1.7609236789728278,1.7913875635713339,1.8082121387124062,0,134
final_raw,2026082919,0,0,72.0,1.0,1,1,0,0,0,0,0,0.0625,48,1.8319133184074115,1.8583560129627585,2.1744160912930965,0,95
final_raw,2026082919,1,0,-18.0,3.0,0,0,0,0,0,0,0,0.0,47,1.7943414165935618,1.838780427351594,2.325455192476511,0,95
final_raw,2026082919,2,0,-24.0,3.0,0,0,0,0,0,0,0,0.0,47,1.781880508791259,1.8139597494155169,2.5269859470427036,0,95
final_raw,2026082919,3,0,-24.0,3.0,0,0,0,0,0,0,0,0.0425531914893617,47,1.7605864423069548,1.789119141176343,1.8301643431186676,0,95
final_raw,2026082920,0,1,66.0,1.0,1,1,0,0,0,0,0,0.0,43,1.8255886253575946,1.8466886132955551,2.0712297409772873,0,85
final_raw,2026082920,1,1,-22.0,3.0,0,0,0,0,0,0,0,0.0,42,1.7899286689325458,1.8406287301331758,1.8824711441993713,0,85
final_raw,2026082920,2,1,-22.0,3.0,0,0,0,0,0,0,0,0.047619047619047616,42,1.8205006074692522,1.8198634264990687,2.8577959164977074,0,85
final_raw,2026082920,3,1,-22.0,3.0,0,0,0,0,0,0,0,0.047619047619047616,42,1.759794307872653,1.799585740081966,1.8175081349909306,0,85
final_raw,2026082921,0,2,-8.0,2.5,0,0,0,0,0,0,0,0.07317073170731707,41,1.8326391284240455,1.8543009646236897,2.27543106302619,0,82
final_raw,2026082921,1,2,-8.0,2.5,0,0,0,0,0,0,0,0.0,41,1.7861702093263951,1.8330039456486702,1.9950573332607746,0,82
final_raw,2026082921,2,2,33.0,1.0,1,0,0,0,0,0,0,0.024390243902439025,41,1.7605676974465208,1.8048770725727081,1.8081790767610073,0,82
final_raw,2026082921,3,2,-18.0,3.0,0,0,0,0,0,0,0,0.0425531914893617,47,1.762827897959567,1.7921754159033298,1.7981799319386482,0,95
final_raw,2026082922,0,3,-8.0,2.5,0,0,0,0,0,0,0,0.0,47,1.833993515514947,1.8502970226109028,2.261664718389511,0,94
final_raw,2026082922,1,3,32.0,1.0,1,0,0,0,0,0,0,0.02127659574468085,47,1.7939747826374592,1.8377084750682116,2.5468948297202587,0,94
final_raw,2026082922,2,3,-16.0,4.0,0,0,1,8,0,0,0,0.05357142857142857,56,1.7817723315342195,1.8128742231056094,2.380144316703081,0,112
final_raw,2026082922,3,3,-16.0,4.0,0,0,1,8,0,0,0,0.06382978723404255,47,1.7535206267332777,1.7850016709417105,1.795188058167696,0,94
final_raw,2026082923,0,2,-18.0,3.0,0,0,0,0,0,0,0,0.0392156862745098,51,1.8206216559252317,1.846961909905076,1.8627657555043697,0,103
final_raw,2026082923,1,2,34.0,1.0,1,0,0,0,0,0,0,0.03508771929824561,57,1.7810793626203871,1.8359137699007988,1.8467367626726627,0,114
final_raw,2026082923,2,2,33.0,1.0,1,0,0,0,0,0,0,0.03333333333333333,60,1.7560625604043405,1.7993889516219497,1.8098880536854267,0,120
