validation_epoch,validation_loss,policy_accuracy,best_accuracy,epoch_seconds,peak_cuda_memory_gib
1,0.774454710202969,0.7275135298665502,0.7275135298665502,951.2,1.15
2,0.6472002297354336,0.7760395307405291,0.7760395307405291,955.2,1.15
3,0.5799121049228743,0.7998588187838247,0.7998588187838247,950.1,1.15
4,0.5403479208252667,0.8128407677568994,0.8128407677568994,952.8,1.15
5,0.494692582522141,0.8278732058220445,0.8278732058220445,953.7,1.15
6,0.47148033987634697,0.8313018925005883,0.8313018925005883,953.5,1.15
7,0.4435014601823538,0.8382937241587952,0.8382937241587952,953.4,1.15
8,0.4223216366401628,0.8448754579985882,0.8448754579985882,953.9,1.15
9,0.3968100710802188,0.8516656022051161,0.8516656022051161,954.0,1.15
10,0.3988719365845937,0.8517530001008438,0.8517530001008438,953.8,1.15
11,0.38464252977532465,0.8562775219335104,0.8562775219335104,954.7,1.15
12,0.3780343644650805,0.8584086860062523,0.8584086860062523,965.9,1.15
13,0.36712095949276263,0.8616827456385089,0.8616827456385089,961.5,1.15
14,0.36375823859715806,0.862919762008807,0.862919762008807,955.1,1.15
15,0.3562050144493434,0.8656223738613062,0.8656223738613062,973.7,1.15
16,0.3566243557117499,0.8665434132239739,0.8665434132239739,961.1,1.15
17,0.3425844097294532,0.8709200309254093,0.8709200309254093,956.5,1.15
18,0.34873592460442804,0.8692594709065851,0.8709200309254093,957.5,1.15
