model,games,avg_score,avg_rank,win_rate,self_draw_rate,deal_in_rate,avg_deal_in_fan,big_deal_in_rate,draw_tenpai_rate,call_rate,mean_decision_ms,p95_game_decision_ms,max_decision_ms,invalid_or_timeout_rate
best,2000,0.0,2.5,0.238,0.065,0.173,12.745664739884393,0.0015,0.6136363636363636,0.02601899254465679,1.9328453609183776,2.7386965323239556,9.651672095060349,0.004
e12,2000,-0.355,2.53075,0.229,0.073,0.181,12.640883977900552,0.0025,0.6288659793814433,0.025686258278861878,1.9302815503193451,2.7470353385433555,367.9520431905985,0.0055
e13,2000,-0.3915,2.5155,0.229,0.072,0.169,12.819526627218934,0.0025,0.6551724137931034,0.02281629112017573,1.9237647325305893,2.7616987703368068,8.669057860970497,0.008
e14,2000,-0.2965,2.51725,0.2335,0.0725,0.171,12.421052631578947,0.0015,0.6891891891891891,0.025699434067736376,1.914912059648092,2.740105087868869,7.234565913677216,0.004
e16,2000,0.0,2.5,0.238,0.065,0.173,12.745664739884393,0.0015,0.6136363636363636,0.02601899254465679,1.9207589549962345,2.7335322881117463,7.73901492357254,0.004
e17,2000,0.1545,2.4995,0.244,0.07,0.1725,12.852173913043478,0.002,0.675,0.025971647190987348,1.9274921068399673,2.7264975337311625,4.945572465658188,0.0035
