model,games,avg_score,avg_rank,win_rate,self_draw_rate,deal_in_rate,avg_deal_in_fan,big_deal_in_rate,draw_tenpai_rate,call_rate,mean_decision_ms,p95_game_decision_ms,max_decision_ms,invalid_or_timeout_rate
e14_risk,8000,0.5175,2.4941875,0.244875,0.07,0.175,12.538571428571428,0.00125,0.7699680511182109,0.024227600794495138,2.332762936441478,3.421409199945629,8.57478752732277,0.0095
e16_light,8000,0.0,2.5,0.234875,0.0645,0.170375,12.832721936903889,0.00125,0.5767326732673267,0.025304872417576903,1.983046704758535,2.8800379950553174,336.535207927227,0.01
e16_risk,8000,0.70925,2.491375,0.249375,0.069875,0.181625,12.804542326221611,0.000875,0.7230320699708455,0.02516250676638359,2.326461200546138,3.3593094116076814,9.24634374678135,0.010375
e17_light,8000,0.277,2.49275,0.240375,0.069875,0.1695,12.67551622418879,0.001125,0.639386189258312,0.02539667968356109,1.9808211857201294,2.923867618665099,13.970842584967613,0.009875
e17_risk,8000,0.75725,2.491625,0.25,0.073125,0.18075,12.60235131396957,0.001,0.7592067988668555,0.025268482283923397,2.300839759053795,3.3103490434587,8.357252925634384,0.00975
